character,dialogue_count,scene_count,episode_count,arc_presence,positive_proportion,negative_proportion,neutral_proportion
katara,15067,875,59,"Earth, Fire, Water",0.4050574102342869,0.5949425897657131,0.0
sokka,18392,1009,59,"Earth, Fire, Water",0.385656807307525,0.614343192692475,0.0
zuko,9277,466,47,"Earth, Fire, Water",0.43095828392799396,0.569041716072006,0.0
iroh,5276,198,36,"Earth, Fire, Water",0.5915466262319939,0.40845337376800606,0.0
aang,17947,1120,60,"Earth, Fire, Water",0.45311194071432553,0.5468880592856745,0.0
kanna,158,7,2,Water,0.5632911392405063,0.43670886075949367,0.0
village girl,9,3,1,Water,1.0,0.0,0.0
southern water tribe boy,12,2,2,Water,0.4166666666666667,0.5833333333333334,0.0
village boy,4,2,2,Water,0.75,0.25,0.0
village kids,3,1,1,Water,1.0,0.0,0.0
southern water tribe girl,7,1,1,Water,1.0,0.0,0.0
firebender,11,3,2,"Fire, Water",0.9090909090909091,0.09090909090909091,0.0
zhao,1619,63,7,Water,0.42063001852995674,0.5793699814700433,0.0
soldier,163,11,8,"Earth, Fire, Water",0.6134969325153374,0.38650306748466257,0.0
gyatso,244,16,3,"Fire, Water",0.46311475409836067,0.5368852459016393,0.0
fire sage,130,7,5,"Earth, Fire, Water",1.0,0.0,0.0
oyaji,210,13,2,"Earth, Water",0.8238095238095238,0.1761904761904762,0.0
suki,1231,74,11,"Earth, Fire, Water",0.5223395613322502,0.4776604386677498,0.0
spectators,6,1,1,Water,1.0,0.0,0.0
little girl,15,3,2,Water,0.6,0.4,0.0
fisherman,174,8,2,Water,0.3850574712643678,0.6149425287356322,0.0
painter,29,1,1,Water,0.0,1.0,0.0
fangirls,2,1,1,Water,0.0,1.0,0.0
koko,31,6,2,"Earth, Water",0.2903225806451613,0.7096774193548387,0.0
gate guard,60,4,1,Water,0.65,0.35,0.0
cabbage merchant,38,7,4,"Earth, Water",0.0,1.0,0.0
bumi,972,50,4,"Earth, Fire, Water",0.5545267489711934,0.4454732510288066,0.0
guard,216,24,12,"Earth, Fire, Water",0.2916666666666667,0.7083333333333334,0.0
chamberlain,19,1,1,Water,0.0,1.0,0.0
haru,315,16,4,"Fire, Water",0.5682539682539682,0.43174603174603177,0.0
haru's mother,93,5,1,Water,0.25806451612903225,0.7419354838709677,0.0
tax collector,28,3,1,Water,0.2857142857142857,0.7142857142857143,0.0
old man,46,7,3,"Earth, Water",0.21739130434782608,0.782608695652174,0.0
warden,723,32,3,"Fire, Water",0.43015214384508993,0.5698478561549101,0.0
tyro,235,11,3,"Fire, Water",0.4085106382978723,0.5914893617021276,0.0
prisoner,12,1,1,Water,0.0,1.0,0.0
captain,146,9,4,"Earth, Water",0.2465753424657534,0.7534246575342466,0.0
old wanderer,167,6,1,Water,0.437125748502994,0.562874251497006,0.0
senlin village leader,134,5,2,Water,0.5970149253731343,0.40298507462686567,0.0
earthbender captain,97,5,1,Water,0.5463917525773195,0.4536082474226804,0.0
fire nation soldier,38,5,4,"Fire, Water",0.4473684210526316,0.5526315789473685,0.0
engineer,53,4,3,"Earth, Fire, Water",0.41509433962264153,0.5849056603773585,0.0
great fire sage,86,8,1,Water,0.4186046511627907,0.5813953488372093,0.0
shyu,331,10,1,Water,0.595166163141994,0.40483383685800606,0.0
roku,1117,46,8,"Earth, Fire, Water",0.6794986571172784,0.3205013428827216,0.0
oh,111,9,2,Water,0.5765765765765766,0.42342342342342343,0.0
pirate captain,138,8,2,Water,0.15942028985507245,0.8405797101449275,0.0
pirate,14,2,1,Water,1.0,0.0,0.0
eye-patch soldier,6,1,1,Water,1.0,0.0,0.0
jet,1607,68,5,"Earth, Water",0.4741754822650902,0.5258245177349098,0.0
