arc,character,dialogue_count,scene_count,episode_count,positive_proportion,negative_proportion,neutral_proportion
Water,katara,6275,368,20,0.40908366533864543,0.5909163346613546,0.0
Water,sokka,5980,374,20,0.38444816053511705,0.6155518394648829,0.0
Water,zuko,1773,122,13,0.4410603496897913,0.5589396503102086,0.0
Water,iroh,1814,85,13,0.5501653803748622,0.4498346196251378,0.0
Water,aang,7810,508,20,0.48706786171574906,0.512932138284251,0.0
Water,kanna,158,7,2,0.5632911392405063,0.43670886075949367,0.0
Water,village girl,9,3,1,1.0,0.0,0.0
Water,southern water tribe boy,12,2,2,0.4166666666666667,0.5833333333333334,0.0
Water,village boy,4,2,2,0.75,0.25,0.0
Water,village kids,3,1,1,1.0,0.0,0.0
Water,southern water tribe girl,7,1,1,1.0,0.0,0.0
Water,firebender,5,2,1,0.8,0.2,0.0
Water,zhao,1619,63,7,0.42063001852995674,0.5793699814700433,0.0
Water,soldier,100,6,4,0.47,0.53,0.0
Water,gyatso,241,15,2,0.45643153526970953,0.5435684647302904,0.0
Water,fire sage,11,1,1,1.0,0.0,0.0
Water,oyaji,77,7,1,0.6623376623376623,0.33766233766233766,0.0
Water,suki,305,14,1,0.4721311475409836,0.5278688524590164,0.0
Water,spectators,6,1,1,1.0,0.0,0.0
Water,little girl,15,3,2,0.6,0.4,0.0
Water,fisherman,174,8,2,0.3850574712643678,0.6149425287356322,0.0
Water,painter,29,1,1,0.0,1.0,0.0
Water,fangirls,2,1,1,0.0,1.0,0.0
Water,koko,23,4,1,0.13043478260869565,0.8695652173913043,0.0
Water,gate guard,60,4,1,0.65,0.35,0.0
Water,cabbage merchant,30,5,2,0.0,1.0,0.0
Water,bumi,684,30,1,0.5745614035087719,0.42543859649122806,0.0
Water,guard,92,10,4,0.34782608695652173,0.6521739130434783,0.0
Water,chamberlain,19,1,1,0.0,1.0,0.0
Water,haru,254,11,1,0.547244094488189,0.452755905511811,0.0
Water,haru's mother,93,5,1,0.25806451612903225,0.7419354838709677,0.0
Water,tax collector,28,3,1,0.2857142857142857,0.7142857142857143,0.0
Water,old man,9,3,1,0.5555555555555556,0.4444444444444444,0.0
Water,warden,264,11,1,0.4431818181818182,0.5568181818181818,0.0
Water,tyro,181,6,1,0.30939226519337015,0.6906077348066298,0.0
Water,prisoner,12,1,1,0.0,1.0,0.0
Water,captain,89,6,3,0.1348314606741573,0.8651685393258427,0.0
Water,old wanderer,167,6,1,0.437125748502994,0.562874251497006,0.0
Water,senlin village leader,134,5,2,0.5970149253731343,0.40298507462686567,0.0
Water,earthbender captain,97,5,1,0.5463917525773195,0.4536082474226804,0.0
Water,fire nation soldier,27,3,3,0.4074074074074074,0.5925925925925926,0.0
Water,engineer,13,1,1,0.0,1.0,0.0
Water,great fire sage,86,8,1,0.4186046511627907,0.5813953488372093,0.0
Water,shyu,331,10,1,0.595166163141994,0.40483383685800606,0.0
Water,roku,338,6,3,0.7869822485207101,0.21301775147928995,0.0
Water,oh,111,9,2,0.5765765765765766,0.42342342342342343,0.0
Water,pirate captain,138,8,2,0.15942028985507245,0.8405797101449275,0.0
Water,pirate,14,2,1,1.0,0.0,0.0
Water,eye-patch soldier,6,1,1,1.0,0.0,0.0
Water,jet,857,29,1,0.47374562427071176,0.5262543757292882,0.0
Water,pipsqueak,60,4,1,0.5333333333333333,0.4666666666666667,0.0
Water,the duke,31,2,1,0.0,1.0,0.0
Water,smellerbee,26,4,1,0.7307692307692307,0.2692307692307692,0.0
Water,old fire nation civilian,16,2,1,1.0,0.0,0.0
Water,gan jin tribesman,180,3,1,0.5833333333333334,0.4166666666666667,0.0
Water,zhang leader,447,10,1,0.1185682326621924,0.8814317673378076,0.0
Water,canyon guide,252,10,1,0.11904761904761904,0.8809523809523809,0.0
Water,gan jin leader,331,9,1,0.5498489425981873,0.4501510574018127,0.0
Water,gan jin man,6,1,1,0.0,1.0,0.0
Water,merchant woman,19,1,1,1.0,0.0,0.0
Water,shopkeeper,1,1,1,0.0,1.0,0.0
Water,fisherman's wife,101,4,1,0.2871287128712871,0.7128712871287128,0.0
Water,lieutenant jee,11,1,1,1.0,0.0,0.0
Water,jee,119,7,1,0.12605042016806722,0.8739495798319328,0.0
Water,air nomad boy #1,35,4,1,0.08571428571428572,0.9142857142857143,0.0
Water,air nomad boy #2,24,2,1,0.6666666666666666,0.3333333333333333,0.0
Water,tashi,83,5,1,0.08433734939759036,0.9156626506024096,0.0
Water,pasang,59,2,1,0.0,1.0,0.0
Water,bujing,49,1,1,0.4897959183673469,0.5102040816326531,0.0
Water,elder soldier,19,1,1,1.0,0.0,0.0
Water,ozai,38,3,2,0.5526315789473685,0.4473684210526316,0.0
Water,shinu,60,2,1,0.45,0.55,0.0
Water,scout #1,16,1,1,1.0,0.0,0.0
Water,scout #2,14,1,1,0.0,1.0,0.0
Water,herbalist,203,4,2,0.49261083743842365,0.5073891625615764,0.0
Water,scribe,12,1,1,0.0,1.0,0.0
Water,officer,11,2,1,0.0,1.0,0.0
Water,calm man,173,6,1,0.6878612716763006,0.31213872832369943,0.0
Water,strange man,5,1,1,1.0,0.0,0.0
Water,meng,170,9,1,0.7470588235294118,0.2529411764705882,0.0
Water,woman,36,2,1,0.6944444444444444,0.3055555555555556,0.0
Water,wu,341,15,1,0.7214076246334311,0.2785923753665689,0.0
Water,village woman,35,2,1,0.0,1.0,0.0
Water,farmer,3,1,1,1.0,0.0,0.0
Water,poi,4,2,1,1.0,0.0,0.0
Water,ping,3,2,1,0.3333333333333333,0.6666666666666666,0.0
Water,man,24,2,2,1.0,0.0,0.0
Water,man with red shoes,7,1,1,0.0,1.0,0.0
Water,firebenders,3,1,1,1.0,0.0,0.0
Water,june,149,13,1,0.174496644295302,0.825503355704698,0.0
Water,hakoda,42,1,1,0.9761904761904762,0.023809523809523808,0.0
Water,bato,525,14,1,0.6285714285714286,0.37142857142857144,0.0
Water,mother superior,79,5,1,0.7341772151898734,0.26582278481012656,0.0
Water,messenger,13,1,1,0.38461538461538464,0.6153846153846154,0.0
Water,aunt wu,6,1,1,1.0,0.0,0.0
Water,mask dealer,7,1,1,0.0,1.0,0.0
Water,shop keeper,6,1,1,1.0,0.0,0.0
Water,puppet fire lord,11,1,1,0.0,1.0,0.0
Water,fire nation kids,4,1,1,1.0,0.0,0.0
Water,malu,69,1,1,0.8405797101449275,0.15942028985507245,0.0
Water,citizen,5,1,1,1.0,0.0,0.0
Water,chey,210,9,1,0.7523809523809524,0.24761904761904763,0.0
Water,lin yee,27,4,1,0.2222222222222222,0.7777777777777778,0.0
Water,guard captain,29,1,1,0.3448275862068966,0.6551724137931034,0.0
Water,jeong jeong,531,12,1,0.5499058380414312,0.4500941619585687,0.0
Water,tribal man,4,1,1,0.0,1.0,0.0
Water,storyteller,81,5,1,0.7283950617283951,0.2716049382716049,0.0
Water,colonists,9,1,1,0.0,1.0,0.0
Water,teo,303,20,1,0.858085808580858,0.1419141914191419,0.0
Water,mechanist,544,16,1,0.21875,0.78125,0.0
Water,qin,66,3,1,0.045454545454545456,0.9545454545454546,0.0
Water,girl,2,1,1,1.0,0.0,0.0
Water,li,10,1,1,0.0,1.0,0.0
Water,arnook,364,11,3,0.804945054945055,0.19505494505494506,0.0
Water,yue,522,24,3,0.6264367816091954,0.3735632183908046,0.0
Water,pakku,426,16,3,0.6549295774647887,0.34507042253521125,0.0
Water,yugoda,90,2,1,0.9444444444444444,0.05555555555555555,0.0
Water,crew member,2,1,1,1.0,0.0,0.0
Water,hahn,134,5,2,0.7313432835820896,0.26865671641791045,0.0
Water,baboon spirit,17,2,1,1.0,0.0,0.0
Water,koh,182,4,1,0.6098901098901099,0.3901098901098901,0.0
Water,momo,0,0,0,0.0,0.0,0.0
Water,appa,0,0,0,0.0,0.0,0.0
Earth,katara,4288,290,18,0.44776119402985076,0.5522388059701493,0.0
Earth,aang,4727,322,19,0.4336788660884282,0.5663211339115718,0.0
Earth,pakku,80,1,1,1.0,0.0,0.0
Earth,iroh,2876,100,17,0.5907510431154381,0.40924895688456187,0.0
Earth,zuko,1662,124,17,0.4157641395908544,0.5842358604091457,0.0
Earth,azula,1851,73,9,0.5753646677471637,0.4246353322528363,0.0
Earth,captain,57,3,1,0.42105263157894735,0.5789473684210527,0.0
Earth,sokka,5622,339,18,0.3795802205620776,0.6204197794379225,0.0
Earth,fong,358,13,1,0.8631284916201117,0.13687150837988826,0.0
Earth,lo,16,2,2,0.6875,0.3125,0.0
Earth,li,31,2,2,0.2903225806451613,0.7096774193548387,0.0
Earth,soldier,52,4,3,0.8076923076923077,0.19230769230769232,0.0
Earth,oracle,41,2,1,0.8536585365853658,0.14634146341463414,0.0
Earth,roku,80,4,1,0.7375,0.2625,0.0
Earth,chong,487,18,1,0.6057494866529775,0.3942505133470226,0.0
Earth,moku,33,5,1,0.8484848484848485,0.15151515151515152,0.0
Earth,lily,40,4,1,0.4,0.6,0.0
Earth,commander,23,2,1,0.043478260869565216,0.9565217391304348,0.0
Earth,toph,2653,164,15,0.45231813041839425,0.5476818695816057,0.0
Earth,song,153,6,1,0.32679738562091504,0.673202614379085,0.0
Earth,song's mother,27,2,1,1.0,0.0,0.0
Earth,guard one,25,2,1,0.36,0.64,0.0
Earth,guard two,14,1,1,1.0,0.0,0.0
Earth,mai,256,23,6,0.1171875,0.8828125,0.0
Earth,michi,24,5,1,0.75,0.25,0.0
Earth,resistance fighter,4,1,1,1.0,0.0,0.0
Earth,yung,163,9,1,0.4539877300613497,0.5460122699386503,0.0
Earth,ty lee,293,21,6,0.6109215017064846,0.3890784982935154,0.0
Earth,bumi,153,13,1,0.39215686274509803,0.6078431372549019,0.0
Earth,resistance fighter #1,17,1,1,1.0,0.0,0.0
Earth,resistance fighter #2,5,1,1,1.0,0.0,0.0
Earth,old man,37,4,2,0.13513513513513514,0.8648648648648649,0.0
Earth,ukano,78,4,1,0.3333333333333333,0.6666666666666666,0.0
Earth,guard,94,10,5,0.32978723404255317,0.6702127659574468,0.0
Earth,shuzumu,108,7,2,0.5092592592592593,0.49074074074074076,0.0
Earth,peasant girl,4,1,1,1.0,0.0,0.0
Earth,broadsword man,40,3,1,0.325,0.675,0.0
Earth,due,110,8,1,0.5818181818181818,0.41818181818181815,0.0
Earth,tho,129,8,1,0.2248062015503876,0.7751937984496124,0.0
Earth,princess yue,4,1,1,0.0,1.0,0.0
Earth,huu,217,4,1,0.6682027649769585,0.3317972350230415,0.0
Earth,mongke,64,5,2,0.15625,0.84375,0.0
Earth,merchant,27,2,1,0.8148148148148148,0.18518518518518517,0.0
Earth,villagers,4,1,1,0.0,1.0,0.0
Earth,villager,24,4,1,0.5833333333333334,0.4166666666666667,0.0
Earth,tong,289,15,1,0.5951557093425606,0.40484429065743943,0.0
Earth,villager #2,19,2,1,0.8421052631578947,0.15789473684210525,0.0
Earth,villager #3,13,2,1,0.8461538461538461,0.15384615384615385,0.0
Earth,scary prisoner,43,4,1,1.0,0.0,0.0
Earth,koko,8,2,1,0.75,0.25,0.0
Earth,oyaji,133,6,1,0.9172932330827067,0.08270676691729323,0.0
Earth,prisoner #2,1,1,1,1.0,0.0,0.0
Earth,sensitive ruffian,12,2,1,1.0,0.0,0.0
Earth,kyoshi,76,4,1,0.4868421052631579,0.5131578947368421,0.0
Earth,flyer distribution man,19,1,1,1.0,0.0,0.0
Earth,yu,190,16,3,0.45263157894736844,0.5473684210526316,0.0
Earth,male student,73,3,1,0.6575342465753424,0.3424657534246575,0.0
Earth,male student #2,46,2,1,0.4782608695652174,0.5217391304347826,0.0
Earth,xin fu,290,24,4,0.42758620689655175,0.5724137931034483,0.0
Earth,the boulder,99,6,1,0.46464646464646464,0.5353535353535354,0.0
Earth,the hippo,3,1,1,0.0,1.0,0.0
Earth,fire nation man,45,5,2,0.4,0.6,0.0
Earth,audience,1,1,1,1.0,0.0,0.0
Earth,lao,210,8,1,0.5047619047619047,0.49523809523809526,0.0
Earth,servant,13,1,1,0.6153846153846154,0.38461538461538464,0.0
Earth,poppy,37,4,1,0.4864864864864865,0.5135135135135135,0.0
Earth,earth kingdom soldier,37,4,1,0.1891891891891892,0.8108108108108109,0.0
Earth,store owner,33,2,1,0.0,1.0,0.0
Earth,gow,113,6,1,0.2920353982300885,0.7079646017699115,0.0
Earth,lee,136,13,1,0.5514705882352942,0.4485294117647059,0.0
Earth,gansu,105,7,1,0.580952380952381,0.41904761904761906,0.0
Earth,sela,134,4,1,0.1791044776119403,0.8208955223880597,0.0
Earth,ursa,241,16,2,0.6680497925311203,0.33195020746887965,0.0
Earth,young ty lee,7,2,1,0.7142857142857143,0.2857142857142857,0.0
Earth,young mai,6,1,1,0.0,1.0,0.0
Earth,ozai,107,3,1,0.8691588785046729,0.1308411214953271,0.0
Earth,azulon,58,2,1,0.10344827586206896,0.896551724137931,0.0
Earth,old woman,5,1,1,1.0,0.0,0.0
Earth,fire sage,73,3,1,1.0,0.0,0.0
Earth,lu ten,4,1,1,1.0,0.0,0.0
Earth,zei,422,16,1,0.6635071090047393,0.33649289099526064,0.0
Earth,wan shi tong,275,6,1,0.38181818181818183,0.6181818181818182,0.0
Earth,man,37,2,1,0.0,1.0,0.0
Earth,fung,105,6,1,0.7428571428571429,0.2571428571428571,0.0
Earth,man in the bar,1,1,1,1.0,0.0,0.0
