pair,count
"('katara', 'sokka')",386
"('iroh', 'zuko')",112
"('aang', 'katara')",411
"('aang', 'sokka')",409
"('aang', 'kanna')",3
"('kanna', 'katara')",6
"('sokka', 'village girl')",1
"('aang', 'village girl')",1
"('kanna', 'sokka')",4
"('sokka', 'southern water tribe boy')",2
"('sokka', 'southern water tribe girl')",1
"('aang', 'southern water tribe girl')",1
"('aang', 'zuko')",69
"('katara', 'zuko')",61
"('aang', 'firebender')",1
"('zhao', 'zuko')",17
"('iroh', 'zhao')",14
"('soldier', 'zhao')",1
"('aang', 'gyatso')",7
"('sokka', 'suki')",50
"('oyaji', 'sokka')",6
"('aang', 'oyaji')",5
"('oyaji', 'suki')",2
"('katara', 'oyaji')",7
"('aang', 'suki')",10
"('katara', 'suki')",13
"('fisherman', 'little girl')",1
"('fangirls', 'koko')",1
"('aang', 'koko')",2
"('koko', 'little girl')",1
"('aang', 'little girl')",2
"('aang', 'gate guard')",1
"('gate guard', 'katara')",1
"('aang', 'bumi')",19
"('cabbage merchant', 'guard')",1
"('bumi', 'katara')",5
"('bumi', 'sokka')",7
"('chamberlain', 'sokka')",1
"('bumi', 'chamberlain')",1
"('aang', 'guard')",3
"('aang', ""haru's mother"")",1
"('haru', ""haru's mother"")",3
"(""haru's mother"", 'katara')",2
"('aang', 'haru')",3
"('haru', 'katara')",10
"(""haru's mother"", 'sokka')",2
"(""haru's mother"", 'tax collector')",3
"('sokka', 'tax collector')",2
"('haru', 'tax collector')",1
"('haru', 'sokka')",2
"('katara', 'tax collector')",1
"('haru', 'old man')",2
"('katara', 'old man')",1
"('guard', 'sokka')",5
"('prisoner', 'tyro')",1
"('haru', 'prisoner')",1
"('katara', 'prisoner')",1
"('haru', 'tyro')",4
"('katara', 'tyro')",4
"('captain', 'sokka')",3
"('aang', 'captain')",3
"('captain', 'katara')",2
"('captain', 'warden')",1
"('guard', 'warden')",2
"('captain', 'guard')",1
"('guard', 'katara')",1
"('sokka', 'warden')",2
"('tyro', 'warden')",4
"('sokka', 'tyro')",2
"('aang', 'warden')",1
"('aang', 'tyro')",3
"('old wanderer', 'sokka')",4
"('aang', 'old wanderer')",4
"('old wanderer', 'senlin village leader')",2
"('katara', 'old wanderer')",3
"('aang', 'senlin village leader')",5
"('senlin village leader', 'sokka')",5
"('katara', 'senlin village leader')",5
"('earthbender captain', 'soldier')",2
"('fire nation soldier', 'zuko')",1
"('earthbender captain', 'iroh')",3
"('earthbender captain', 'zuko')",1
"('sokka', 'zuko')",61
"('aang', 'iroh')",11
"('iroh', 'sokka')",12
"('iroh', 'katara')",10
"('captain', 'zuko')",4
"('captain', 'zhao')",3
"('aang', 'zhao')",13
"('sokka', 'zhao')",5
"('katara', 'zhao')",3
"('captain', 'iroh')",3
"('engineer', 'zhao')",1
"('engineer', 'zuko')",1
"('great fire sage', 'sokka')",4
"('aang', 'great fire sage')",6
"('great fire sage', 'katara')",2
"('great fire sage', 'shyu')",4
"('shyu', 'sokka')",6
"('aang', 'shyu')",7
"('shyu', 'zuko')",3
"('iroh', 'shyu')",1
"('katara', 'shyu')",6
"('great fire sage', 'zuko')",2
"('roku', 'zuko')",1
"('great fire sage', 'roku')",1
"('great fire sage', 'zhao')",2
"('roku', 'zhao')",2
"('aang', 'roku')",20
"('roku', 'shyu')",1
"('shyu', 'zhao')",1
"('roku', 'sokka')",1
"('katara', 'roku')",2
"('aang', 'oh')",5
"('aang', 'pirate captain')",5
"('pirate captain', 'sokka')",3
"('katara', 'pirate captain')",4
"('oh', 'pirate captain')",2
"('oh', 'sokka')",2
"('katara', 'oh')",4
"('oh', 'pirate')",1
"('aang', 'pirate')",2
"('katara', 'pirate')",1
"('oh', 'zuko')",2
"('iroh', 'oh')",1
"('pirate captain', 'zuko')",4
"('pirate', 'sokka')",1
"('iroh', 'pirate captain')",2
"('eye-patch soldier', 'sokka')",1
"('aang', 'eye-patch soldier')",1
"('eye-patch soldier', 'katara')",1
"('jet', 'sokka')",20
"('jet', 'katara')",22
"('pipsqueak', 'sokka')",5
"('jet', 'pipsqueak')",3
"('aang', 'pipsqueak')",4
"('aang', 'jet')",17
"('aang', 'the duke')",1
"('jet', 'the duke')",2
"('pipsqueak', 'the duke')",3
"('katara', 'the duke')",3
"('katara', 'pipsqueak')",3
"('aang', 'smellerbee')",1
"('jet', 'smellerbee')",10
"('pipsqueak', 'smellerbee')",2
"('smellerbee', 'sokka')",4
"('katara', 'smellerbee')",4
"('jet', 'old fire nation civilian')",2
"('jet', 'little girl')",1
"('little girl', 'sokka')",1
"('katara', 'little girl')",1
"('gan jin tribesman', 'sokka')",2
"('aang', 'gan jin tribesman')",2
"('gan jin tribesman', 'katara')",3
"('canyon guide', 'gan jin tribesman')",2
"('canyon guide', 'katara')",6
"('canyon guide', 'zhang leader')",5
"('gan jin tribesman', 'zhang leader')",2
