book,pair,count,average_sentiment_between_characters
Earth,"('aang', 'katara')",113,-0.09610255171753272
Earth,"('aang', 'pakku')",1,0.9043632566928863
Earth,"('katara', 'pakku')",1,0.9043632566928863
Earth,"('iroh', 'zuko')",55,-0.00950761190160011
Earth,"('azula', 'captain')",2,-0.07458372685042297
Earth,"('fong', 'katara')",3,0.5354780506056088
Earth,"('katara', 'sokka')",124,-0.161891186613386
Earth,"('aang', 'sokka')",126,-0.05295818168997998
Earth,"('aang', 'fong')",7,0.11411515201677333
Earth,"('fong', 'sokka')",1,0.12357307626650883
Earth,"('azula', 'li')",2,-0.6127125695347786
Earth,"('li', 'lo')",2,-0.6127125695347786
Earth,"('azula', 'lo')",2,-0.6127125695347786
Earth,"('aang', 'soldier')",2,1.344508346915245
Earth,"('aang', 'oracle')",1,-1.4915862679481506
Earth,"('azula', 'iroh')",3,-0.03171943731251218
Earth,"('azula', 'zuko')",16,0.031996731772752744
Earth,"('captain', 'zuko')",1,0.7986172735691071
Earth,"('aang', 'roku')",1,-0.49064338207244873
Earth,"('katara', 'soldier')",2,0.5981554135680198
Earth,"('aang', 'chong')",4,0.1819678528742357
Earth,"('chong', 'sokka')",13,0.15411615917732668
Earth,"('chong', 'katara')",8,-0.23793808228590269
Earth,"('chong', 'moku')",3,0.31632157157767904
Earth,"('aang', 'moku')",3,0.2942523409019817
Earth,"('moku', 'sokka')",2,0.5692424996332689
Earth,"('chong', 'lily')",4,-0.336813478239558
Earth,"('lily', 'sokka')",4,-0.336813478239558
Earth,"('katara', 'lily')",3,-0.326235834847797
Earth,"('aang', 'toph')",61,-0.30482968852001585
Earth,"('sokka', 'toph')",74,-0.25494753502515144
Earth,"('katara', 'toph')",69,-0.24697040718848004
Earth,"('lily', 'moku')",1,-0.34511774507435883
Earth,"('katara', 'moku')",1,-0.34511774507435883
Earth,"('aang', 'lily')",1,-0.34511774507435883
Earth,"('iroh', 'song')",3,0.18202839153153558
Earth,"('song', 'zuko')",4,0.12355130990701063
