season,episode_number,title,airdate,rating,total_votes,desc
1,0,Avatar: The Last Airbender,2005-02-21,8.4,1981,"Sokka and his sister Kya - later renamed Katara, must travel the world to find masters for Aang, who is the Avatar. However, they must evade a critical foe, Prince Zuko of the Fire Nation, who wants to capture Aang."
1,1,The Boy in the Iceberg,2005-02-21,7.9,4699,The legend of the Avatar is told. Katara and Sokka find a strange boy within an iceberg.
1,2,The Avatar Returns,2005-02-21,8.1,4158,Aang and Katara inadvertently set off a trap the brings the warmongering Fire Nation to the Southern Water Tribe's peaceful village at the South Pole.
1,3,The Southern Air Temple,2005-02-25,8.4,4057,"After his departure from the Southern Air Temple 100 years ago, an excited Aang finally returns home but is disillusioned by what he finds there."
1,4,The Warriors of Kyoshi,2005-03-04,8.0,3923,"The gang arrives at Kyoshi Island and are captured by some Kyoshi warriors. When Aang reveals that he is the avatar, news quickly spreads out and suddenly reaches to Prince Zuko who then goes to Kyoshi Island to capture him."
1,5,The King of Omashu,2005-03-18,8.1,3926,Aang's abilities as an airbender are challenged by a king.
1,6,Imprisoned,2005-03-25,7.8,3867,"In a nearby Earth Village, the gang meets a teenage earthbender named Haru. This village lives in fear of the Fire Nation, for soldiers there capture any earthbenders they can find."
1,7,"The Spirit World: Winter Solstice, Part 1",2005-04-08,8.0,3712,Aang and friends visit a village being terrorized by an angry spirit. Iroh is captured by Earth Kingdom soldiers.
1,8,"Avatar Roku: Winter Solstice, Part 2",2005-04-15,8.8,3995,"To contact the spirit of the previous Avatar, Aang must reach a temple in the Fire Nation before the sun sets on the following day. There he will learn what he must do to restore balance to the world. Zuko must defy his banishment to follow Aang."
1,9,The Waterbending Scroll,2005-04-29,7.8,3666,"Katara, desperate to improve her abilities and teach Aang, steals an expensive waterbending scroll from pirates, causing them to pursue the group."
1,10,Jet,2005-05-06,7.7,3776,"Aang, Katara, and Sokka have their friendship tested by a charismatic Rebel Leader who is fighting against the Fire Nation."
1,11,The Great Divide,2005-05-20,6.9,3902,Aang is tested as the Avatar when he must help two feuding clans cross a dangerous canyon peacefully.
1,12,The Storm,2005-06-03,9.0,4206,"Aang relives the events after finding out that he is the Avatar 100 years ago and tells them to Katara, while Iroh tells the story of Zuko's scar and banishment to the crew."
1,13,The Blue Spirit,2005-06-17,9.1,4219,"When Aang is captured by the Fire Nation, his only hope is a mysterious masked figure."
1,14,The Fortuneteller,2005-09-23,7.8,3603,The gang visits a village where a fortuneteller lives who is said to never be wrong. Aang tries to show Katara how he feels about her.
1,15,Bato of the Water Tribe,2005-10-07,7.8,3545,Sokka and Katara meet a friend of their father who offers to take them to join the Water Tribe's navy. Aang fears his friends will choose seeing their father again over staying with him.
1,16,The Deserter,2005-10-21,8.4,3540,"When he meets an outcast from the Fire Nation, Aang is impatient to skip ahead in his training."
1,17,The Northern Air Temple,2005-11-04,7.9,3493,Aang is upset when he finds an old Air Temple has been desecrated by an old inventor and his son.
1,18,The Waterbending Master,2005-11-18,8.6,3545,"The heroes finally arrive at the North Pole. But for Katara, the trip may have been in vain, as Master Pakku refuses to teach girls waterbending."
1,19,"The Siege of the North, Part 1",2005-12-02,9.3,4371,"While Katara herself becomes a great waterbending master, Commander Zhao plans a siege on the Northern Water Tribe. Meanwhile, Sokka's on a mission to stop this siege while Aang tries to buy them some time."
1,20,"The Siege of the North, Part 2",2005-12-02,9.6,3690,"As the Fire Nation continues its assault on the Northern Water Tribe, Sokka, Katara and Yue set out on a search for Aang, being guided by his spirit."
2,1,The Avatar State,2006-03-17,8.6,3551,"Aang and friends arrive in the Earth Kingdom to begin his earthbending training, but a local general convinces Aang that all he needs to do is learn to control his Avatar state. Azula, Zuko's sister, arrives to escort her brother and uncle back to the Fire Nation."
2,2,The Cave of Two Lovers,2006-03-24,8.1,3490,"On their way to Omashu, Team Avatar is forced to travel underground to avoid Fire Nation attacks. Iroh and Zuko adjust to life as fugitives."
2,3,Return to Omashu,2006-04-07,8.3,3302,"Finding the city of Aang's old friend, King Bumi, captured by the Fire Nation, the heroes hatch a plan to rescue Aang's earthbending teacher. Azula gathers two old friends to help her hunt the Avatar."
2,4,The Swamp,2006-04-14,7.6,3455,"Aang hears a swamp calling to him. In the swamp, Aang and the gang find out that this is not any natural swamp."
