Term,Score
people,22.945390770094264
filler,22.687817280921298
bad,18.877614478262743
one,18.263142245085213
like,17.13816323779301
episodes,17.12700534196071
good,15.744745346662965
great,15.666390768981396
even,15.496948630819938
think,14.219121850446292
fire,14.176241230054016
don,13.528841149224418
nation,13.324109563922685
do,12.925609089647683
plot,12.890862709929586
fire nation,12.742441440709355
lady,10.982059119384726
painted,10.982059119384726
painted lady,10.982059119384726
doesn,9.705917050658543
