Term,Score
aang,7.163309706504405
nation,5.65822505341582
zuko,5.100581030660678
episode,3.7818004592956083
katara,3.4989321656686454
really,3.2883204241741453
school,3.2323468730221583
love,3.0668834923026282
dance,2.7417558270950204
hide,2.4165777694403987
iroh,2.280140567398988
avatar,2.093566444520465
sokka,2.0903909668538128
like,1.7179618088624427
scene,1.7014753177481925
just,1.6602964649578908
students,1.6068151496377112
cave,1.3130016892723286
kids,1.0246540952565213
gets,0.9451807597126999
